supConstruida,terreno,title,valorCLP,valorUF,x,y
30,30,Metro Sta Ana,240000,8,-33.43375,-70.65916
25,25,arturo prat 1450,239002,8,-33.46467,-70.64684
27,27,CIENFUEGOS 78,235000,8,-33.44387,-70.66317
25,25,Amunátegui 630 - Departamento 1511,230000,8,-33.43650,-70.65715
32,32,Blanco Encalada 2051,235000,8,-33.45669,-70.66326
30,30,García Reyes 71,235000,8,-33.44534,-70.67098
25,25,Amunátegui 630 - Departamento 1910,230000,8,-33.43640,-70.65742
32,32,Mario Kreutzberger 1520,260000,9,-33.43590,-70.65900
27,27,moneda 1576,260000,9,-33.44280,-70.65870
30,30,santa victoria 492,260000,9,-33.44881,-70.64172
27,27,Parque Ohiggins frente  Arsenal de guerra,260000,9,-33.45685,-70.66266
27,27,Parque Ohiggins frente  Arsenal de guerra,260000,9,-33.45685,-70.66266
29,29,Impecable departamento en San Martin & Mapocho. Metro santa Ana y Cal y Canto.,230000,8,-33.43225,-70.65934
28,28,Blanco Encalada 1727,260000,9,-33.45637,-70.65856
35,37,"Nicasio Retamales 54, Santiago, Estación",260000,9,-33.45230,-70.68990
30,30,San Martín 714,260000,9,-33.43565,-70.65874
36,36,Blanco Encalada 2501,260000,9,-33.45797,-70.67033
22,22,SAN FRANCISCO-TARAPACA,260000,9,-33.44730,-70.64690
26,26,general mackenna 1555 - Departamento 412,260000,9,-33.43323,-70.65973
25,25,Avenida Santa Rosa 237,248500,9,-33.44709,-70.64546
31,31,Enrique Mac Iver 524,255000,9,-33.43662,-70.64735
42,42,Sazié / Almirante Latorre,255000,9,-33.45020,-70.66382
32,32,Calle San Ignacio de Loyola 2903,255000,9,-33.48036,-70.65384
38,42,Aldunate 1064 - Departamento 611 A,250000,9,-33.45970,-70.65434
32,32,Santo Domingo 664,250000,9,-33.43602,-70.64687
32,32,Metro Cal y Canto,250000,9,-33.43295,-70.65335
32,32,Metro Cal y Canto,250000,9,-33.43317,-70.65376
20,20,Sargento Aldea 1156,250000,9,-33.46877,-70.64914
34,37,AGUSTINAS / ALMIRANTE BARROSO,251301,8,-33.44209,-70.66277
40,40,ARTURO PRAT / PORVENIR,250000,8,-33.45779,-70.64728
34,36,Coronel Godoy 128,250000,9,-33.45289,-70.69431
