,supConstruida,terreno,title,valorCLP,valorUF,x,y,valorPesos,evaluation
1125,45.0,48.0,Argomedo  65,345000,12,-33.4487,-70.63288,345000,Yes
1126,45.0,48.0,Argomedo  65,345000,12,-33.4487,-70.63288,345000,Yes
1127,43.0,43.0,San Martín 870,340000,12,-33.43376,-70.65892,340000,Yes
1128,42.0,42.0,Avenida Vicuña Mackenna 881 - Departamento 308B,340000,12,-33.469120000000004,-70.642,340000,Yes
1129,35.0,35.0,blanco encalada  1700,340000,12,-33.469120000000004,-70.642,340000,Yes
1130,54.0,54.0,SAN FRANCISCO 350,340000,12,-33.44915,-70.64658,340000,Yes
1131,34.0,36.0,Eleuterio Ramírez 780,340000,12,-33.448479999999996,-70.64655,340000,Yes
1132,49.0,49.0,GORBEA 1953 - BARRIO UNIVERSITARIO,340000,12,-33.452259999999995,-70.66251,340000,Yes
1133,34.0,36.0,Eleuterio Ramírez 780,340000,12,-33.448479999999996,-70.64655,340000,Yes
1134,55.0,55.0,Coquimbo 56,340000,12,-33.453520000000005,-70.63135,340000,Yes
1135,42.0,42.0,Metro Ñuble,340000,12,-33.4698,-70.626,340000,Yes
1136,30.0,30.0,Metro Santa Lucia,340000,12,-33.44678,-70.64384,340000,Yes
1137,34.0,36.0,Eleuterio Ramírez 780,340000,12,-33.448479999999996,-70.64655,340000,Yes
1138,30.0,30.0,condor 1107,340000,12,-33.469120000000004,-70.642,340000,Yes
1139,34.0,37.0,Portugal 941,342150,12,-33.454440000000005,-70.6338,342150,Yes
1140,30.0,30.0,Metro Santa Lucia,340000,12,-33.4476,-70.64347,340000,Yes
1141,47.0,54.0,Cóndor/San diego,340000,12,-33.4506,-70.6501,340000,Yes
1142,37.0,40.0,ELEUTERIO RAMIREZ / SAN FRANCISCO,341870,12,-33.448479999999996,-70.64655,341870,Yes
1143,37.0,40.0,ELEUTERIO RAMIREZ / SAN FRANCISCO,341870,12,-33.448479999999996,-70.64655,341870,Yes
1144,37.0,40.0,ELEUTERIO RAMIREZ / SAN FRANCISCO,341870,12,-33.448479999999996,-70.64655,341870,Yes
1145,42.0,43.0,VICTORIA / LORD COCHRANE,340000,12,-33.46385,-70.65272,340000,Yes
1146,60.0,60.0,metro santa ana,340000,12,-33.43802,-70.65654,340000,Yes
1147,37.0,40.0,Lujoso Departamento finas terminaciones Eleuterio R. 780,341834,12,-33.448479999999996,-70.64655,341834,Yes
1148,40.0,40.0,Avenida Ejército Libertador 621,340000,12,-33.45462,-70.66015,340000,Yes
1149,38.0,38.0,Eleuterio Ramírez 780 - Departamento 324,340000,12,-33.448479999999996,-70.64655,340000,Yes
1150,32.0,38.0,Santa Isabel / Vicuña Mackenna,340000,12,-33.44751,-70.63335,340000,Yes
1151,40.0,40.0,Calle San Ignacio de Loyola 952,330000,12,-33.45838,-70.65548000000001,330000,Yes
1152,36.0,36.0,CATEDRAL /TEATINOS  SANTIAGO CENTRO,340000,12,-33.4376,-70.6553,340000,Yes
1153,44.0,44.0,Arturo Prat 1237 - Departamento 1508,336000,12,-33.46145,-70.64728000000001,336000,Yes
1154,38.0,38.0,Alonso de Ovalle 868,340000,12,-33.4458,-70.6484,340000,Yes
1155,34.0,34.0,"Metro Universidad De Chile - Avenida Libertador Bernardo O'Higgins, Santiago",340000,12,-33.44477,-70.64823,340000,Yes
1156,38.0,38.0,Eleuterio Ramírez 780,330000,11,-33.448479999999996,-70.64655,330000,Yes
1157,45.0,45.0,Vicuña Mackenna  327,340000,12,-33.44592,-70.63337,340000,Yes
1158,54.0,54.0,SAN FRANCISCO 350,340000,12,-33.44915,-70.64658,340000,Yes
1159,50.0,50.0,Eleuterio Ramírez 1336,330000,11,-33.450309999999995,-70.65411999999999,330000,Yes
1160,35.0,35.0,carmen 368,328500,11,-33.448190000000004,-70.64171,328500,Yes
1161,30.0,30.0,METRO ALMAGRO / CONDOR,330000,11,-33.45037,-70.65077,330000,Yes
1162,34.0,39.0,Metro Ñuble,330968,11,-33.469440000000006,-70.6259,330968,Yes
1163,50.0,51.0,Avenida Vicuña Mackenna 1725,330000,11,-33.46652,-70.62747,330000,Yes
1164,35.0,35.0,LORD COCHRANE/MATTA,330000,11,-33.4593,-70.6533,330000,Yes
1165,40.0,40.0,Padre Alonso de Ovalle 884,330000,11,-33.44616,-70.64884,330000,Yes
1166,40.0,40.0,SAN DIEGO - HOSPITAL SAN BORJA,330000,11,-33.46291,-70.64801999999999,330000,Yes
1167,35.0,35.0,General Gana,330000,11,-33.471,-70.6479,330000,Yes
1168,40.0,42.0,"San Diego, a cuatro cuadras de la estaci",330000,11,-33.4567,-70.6498,330000,Yes
1169,40.0,42.0,SAN DIEGO-COQUIMBO. TEATRO CAUPOLICAN,330000,11,-33.4567,-70.6498,330000,Yes
1170,50.0,52.0,COMPAÑIA  / CUETO,330000,11,-33.44065,-70.67251999999999,330000,Yes
1171,52.0,54.0,AGUSTINAS / MANUEL RODRIGUEZ,330000,11,-33.441590000000005,-70.65908,330000,Yes
1172,52.0,55.0,SANTA ROSA 265 A PASOS DE ALAMEDA,330000,11,-33.4472,-70.64506999999999,330000,Yes
1173,35.0,35.0,carmen  368 - Departamento 420,328000,11,-33.448190000000004,-70.64171,328000,Yes
1174,30.0,30.0,Departamento Tarapaca / metro Moneda,330000,11,-33.44766,-70.65405,330000,Yes
1175,34.0,36.0,PISO 6 / METRO SANTA LUCIA / SAN FRANCISCO / OPEN HOUSSE,330000,11,-33.448479999999996,-70.64655,330000,Yes
1176,33.0,33.0,TEATINOS/ROSAS,330000,11,-33.4358,-70.6557,330000,Yes
1177,45.0,48.0,San Pablo 1295,320000,11,-33.43422,-70.65569,320000,Yes
1178,37.0,40.0,METRO SANTA ISABEL - ARGOMEDO esq. PORTUGAL,330000,11,-33.45008,-70.63564000000001,330000,Yes
1179,38.0,38.0,Edificio Diagonal Viicuña Mackenna WWW.VINAMARPROPIEDADES.CL,330000,11,-33.46905,-70.62637,330000,Yes
1180,36.0,41.0,GENERAL MACKENNA 1571,330000,11,-33.433209999999995,-70.65993,330000,Yes
1181,36.0,38.0,Metro Universidad de Chile,330000,11,-33.44696,-70.64796,330000,Yes
1182,45.0,48.0,San Diego  895,330000,11,-33.45674,-70.64979,330000,Yes
1183,39.0,43.0,Vicuña Mackenna 1751,330000,11,-33.46662,-70.62698,330000,Yes
1184,30.0,33.0,carmen 368,332000,11,-33.44822,-70.64199,332000,Yes
1185,34.0,102.0,Mario Kreutzberger 1520,330000,11,-33.4359,-70.659,330000,Yes
1186,38.0,38.0,Metro Santa Ana,330000,11,-33.4352,-70.6615,330000,Yes
1187,36.0,36.0,San Isidro  337 - Departamento 1904,330000,11,-33.44828,-70.64385,330000,Yes
1188,48.0,52.0,PADRE ORELLANA 1656,330000,11,-33.46602,-70.62975,330000,Yes
1189,36.0,36.0,San Isidro  337 - Departamento 2310,330000,11,-33.44832,-70.64378,330000,Yes
1190,36.0,36.0,San Isidro  337 - Departamento 616,330000,11,-33.44832,-70.64378,330000,Yes
1191,34.0,36.0,San Francisco / Metro Sta. Lucía,330000,11,-33.44826,-70.6463,330000,Yes
1192,40.0,40.0,argomedo 321,330000,11,-33.449670000000005,-70.63597,330000,Yes
1193,46.0,48.0,Rivas Vicuña 1590,330000,11,-33.429120000000005,-70.68358,330000,Yes
1194,42.0,42.0,San Diego 895,330000,11,-33.45674,-70.64979,330000,Yes
1195,30.0,33.0,carmen 368,332000,11,-33.44822,-70.64199,332000,Yes
1196,36.0,36.0,carmen 368,332000,11,-33.44822,-70.64199,332000,Yes
1197,36.0,36.0,San Isidro  337 - Departamento 1115,330000,11,-33.44832,-70.64378,330000,Yes
1198,42.0,42.0,San Diego 895,330000,11,-33.45674,-70.64979,330000,Yes
1199,33.0,36.0,Metro Santa Lucia,330000,11,-33.44543,-70.64299,330000,Yes
1200,47.0,47.0,San Diego 895,330000,11,-33.45674,-70.64979,330000,Yes
1201,40.0,40.0,Granados 535,330000,11,-33.4456,-70.64324,330000,Yes
1202,35.0,70.0,VERGARA 559 - Departamento 0,330000,11,-33.45409,-70.66167,330000,Yes
1203,43.0,46.0,Barrio Lastarria - Metro Santa Lucía,330000,11,-33.4386,-70.6455,330000,Yes
1204,37.0,37.0,Tucapel Jiménez 136,330000,11,-33.44236,-70.65942,330000,Yes
1205,42.0,42.0,"Departamento en General Bulnes, Santiago Centro",325000,11,-33.43228,-70.67012,325000,Yes
1206,35.0,38.0,NUEVO Lira / Santa Isabel,330000,11,-33.44988,-70.63866,330000,Yes
1207,56.0,57.0,Gorbea / José Miguel Carrera,330000,11,-33.452259999999995,-70.66251,330000,Yes
1208,50.0,52.0,Cómodo 3D/1B La Florida paradero 26,325000,11,-33.55831,-70.55415,325000,Yes
1209,30.0,30.0,Santa Rosa / Santiago Centro,324819,11,-33.4572,-70.6445,324819,Yes
1210,38.0,38.0,Arrienda su dueño. Bellas Artes,325000,11,-33.43347,-70.64134,325000,Yes
1211,35.0,35.0,SAN ISIDRO / MARIN,325000,11,-33.4481,-70.64365,325000,Yes
1212,40.0,42.0,santa victoria 340 - Departamento 1310,320000,11,-33.44763,-70.63691999999999,320000,Yes
1213,42.0,46.0,Hermanos Amunátegui 890 - Departamento 1003,324260,11,-33.433409999999995,-70.65714,324260,Yes
1214,50.0,50.0,Alameda,320000,11,-33.450520000000004,-70.65258,320000,Yes
1215,30.0,33.0,carmen 368,323500,11,-33.44822,-70.64199,323500,Yes
1216,37.0,40.0,Sara del Campo 535,321000,11,-33.44428,-70.64346,321000,Yes
1217,45.0,45.0,santo domingo 1457 - Departamento 2401,320000,11,-33.4368,-70.65788,320000,Yes
1218,33.0,33.0,LORD COCHRANE / VICTORIA,320000,11,-33.46543,-70.65261,320000,Yes
1219,29.0,58.0,Avenida Manuel Rodríguez 881 - Departamento 1607,320000,11,-33.433409999999995,-70.66006,320000,Yes
1220,50.0,55.0,Cercano a Cerro Santa Lucía,320000,11,-33.4396,-70.64442,320000,Yes
1221,51.0,51.0,"Metro Sta Ana, 2D+1B, Disponibilidad Inmediata!!!!",380000,13,-33.44336,-70.65992,380000,Yes
1222,42.0,42.0,Metro Universidad Católica - Amoblado,375000,13,-33.43902,-70.64116,375000,Yes
1223,45.0,45.0,Marín 395 - Departamento 102,380000,13,-33.446909999999995,-70.63953000000001,380000,Yes
1224,48.0,48.0,Metro Toesca - Vergara / Domeyko,380000,13,-33.4552,-70.6613,380000,Yes
1225,60.0,63.0,Arturo Prat 1237,375000,13,-33.46145,-70.64728000000001,375000,Yes
1226,47.0,49.0,Sargento aldea,390000,13,-33.4681,-70.6455,390000,Yes
1227,60.0,68.0,"Arriendo Departamento 2 Dormitorios 2 Baños, inmejorable ubicación, cercano a metros Toesca, Moneda o Parque Almagro.",390000,13,-33.45075,-70.65424,390000,Yes
1228,45.0,45.0,Santo Domingo  1391,400000,14,-33.43652,-70.65697,400000,Yes
1229,50.0,52.0,Metro Santa Ana,370000,13,-33.434259999999995,-70.65926999999999,370000,Yes
1230,50.0,53.0,morandé 924,399000,14,-33.43314,-70.65486999999999,399000,Yes
1231,44.0,49.0,Avenida Santa Rosa 237,408500,14,-33.44709,-70.64546,408500,Yes
1232,40.0,43.0,Metro Bellas Artes,400000,14,-33.43612,-70.64418,400000,Yes
1233,44.0,49.0,Avenida Santa Rosa 237,408500,14,-33.44709,-70.64546,408500,Yes
1234,65.0,65.0,Vicuña Mackenna 2004,430000,15,-33.47039,-70.62599,430000,Yes
1235,50.0,50.0,Morandé / Rosas,430000,15,-33.43521,-70.65428,430000,Yes
1236,60.0,66.0,Plaza Yungay,430000,15,-33.43155,-70.67471,430000,Yes
1237,96.0,192.0,Tucapel Jiménez 53,450000,16,-33.4439,-70.65865,450000,Yes
1238,60.0,60.0,Morandé 707,450000,16,-33.43521,-70.65428,450000,Yes
1239,65.0,70.0,METRO PARQUE ALMAGRO / SANTA ROSA,440000,15,-33.4532,-70.6501,440000,Yes
1240,55.0,57.0,Metro Ñuble,440000,15,-33.47039,-70.62599,440000,Yes
1241,65.0,75.0,Echaurren 424 - Departamento 611,450000,16,-33.45349,-70.66614,450000,Yes
1242,48.0,48.0,SANTA ELENA 840,440000,15,-33.4529,-70.6318,440000,Yes
1243,62.0,66.0,Balmaceda,450000,16,-33.4332,-70.6597,450000,Yes
1244,75.0,80.0,Catedral 1450 - Departamento 912,450000,16,-33.43829,-70.6576,450000,Yes
1245,62.0,67.0,metro Ñuble,450000,16,-33.469440000000006,-70.62581999999999,450000,Yes
1246,55.0,58.0,Argomedo  190,450000,16,-33.44944,-70.63381,450000,Yes
1247,40.0,45.0,METRO UNIVERSIDAD CATÓLICA / AMOBLADO / DISPONIBILIDAD INMEDIATA / GASTOS COMUNES E INTERNET INCLUIDOS,450000,16,-33.4458,-70.64007,450000,Yes
1248,53.0,56.0,Argomedo 327 - Departamento 713,450000,16,-33.44962,-70.63588,450000,Yes
1249,65.0,73.0,San  Pablo / Teatinos,450000,16,-33.434020000000004,-70.65621,450000,Yes
1250,70.0,73.0,"Eleuterio Ramírez 875, Santiago - Departamento 1714",450000,16,-33.448679999999996,-70.64834,450000,Yes
1251,42.0,44.0,av. Republica-Echaurren,450000,16,-33.4531,-70.6664,450000,Yes
1252,50.0,51.0,Sector Vicuña Mackenna - Metro Santa Isabel,450000,16,-33.44898,-70.63207,450000,Yes
1253,63.0,68.0,Metro Ñuble,450050,16,-33.469409999999996,-70.62581999999999,450050,Yes
1254,80.0,80.0,Portugal / Torres San Borja,450000,16,-33.4456,-70.6368,450000,Yes
1255,65.0,65.0,lord cochrane  220 - Departamento 5,450000,16,-33.44921,-70.65426,450000,Yes
1256,70.0,73.0,Carmen/Marín Stgo Centro Metro Sta Lucia,450000,16,-33.447559999999996,-70.64239,450000,Yes
